the	ちなまりうゆひほち	チナマリウユヒホチ
of	⊍かゆ⊆す	⍕カユ⌽ス
to	⊀りのな▣みくしな	⌶リノナ◈ミクシナ
and	んめ⊅ここ	ンメ⌼ココ
a	いわのへ	イワノヘ
in	ほ⊄し	ホ⌻シ
is	も⊉とはる	モ⍀トハル
it	なきこ	ナキコ
you	めあ⊍⊊	メア⍕⍁
that	⊈⊈むわい	⌿⌿ムワイ
he	⊈っとみ⊇き⊅や	⌿ットミ⌾キ⌼ヤ
was	ひま⊂ひとき⊁⊆⊅	ヒマ⌹ヒトキ⌸⌽⌼
for	みゆせよけほさんた	ミユセヨケホサンタ
on	⊁へた	⌸ヘタ
are	⊆あゔ⊃	⌽アヴ⌺
with	へのゔこと	ヘノヴコト
as	⊊⊀⊆そっひきろ	⍁⌶⌽ソッヒキロ
I	んここ▣むみな⊋	ンココ◈ムミナ⍂
his	ももやの	モモヤノ
they	おこるるこさらか	オコルルコサラカ
be	お⊄ほに⊈てに	オ⌻ホニ⌿テニ
at	こえなに	コエナニ
one	えと⊋のっとは	エト⍂ノットハ
have	⊀け⊀ろわ⊍れ	⌶ケ⌶ロワ⍕レ
this	く⊂▣うみ	ク⌹◈ウミ
from	⊂せ⊆ほけ⊃ち	⌹セ⌽ホケ⌺チ
or	⊇いりしなきせ	⌾イリシナキセ
had	ゆちこ⊊れひせ	ユチコ⍁レヒセ
by	けらへ	ケラヘ
not	あの⊂に⊍せおへ	アノ⌹ニ⍕セオヘ
word	ならす	ナラス
but	⊇と⊄せすけちに	⌾ト⌻セスケチニ
what	くはし	クハシ
some	⊅かもちきと⊁も	⌼カモチキト⌸モ
we	ほや⊅れけあわれ	ホヤ⌼レケアワレ
can	さと⊃	サト⌺
out	のな▣たには⊄て	ノナ◈タニハ⌻テ
other	りあか⊁らこ	リアカ⌸ラコ
were	てゔはの	テヴハノ
all	こかや⊌あ	コカヤ⍢ア
there	もむわゆ	モムワユ
when	⊍▣⊂	⍕◈⌹
up	ひん⊉ひた⊅に⊇て	ヒン⍀ヒタ⌼ニ⌾テ
use	おのらこいほっ⊅	オノラコイホッ⌼
your	⊅た⊊と⊉⊀	⌼タ⍁ト⍀⌶
how	るにく	ルニク
said	ななされおうろたれ	ナナサレオウロタレ
an	えひえ⊊⊉⊅もは	エヒエ⍁⍀⌼モハ
each	し⊇すれ⊆	シ⌾スレ⌽
she	⊋そ⊈そへ	⍂ソ⌿ソヘ
which	ほたみ⊀ひあはわふ	ホタミ⌶ヒアハワフ
do	ろとっふ⊂はめ	ロトッフ⌹ハメ
their	わ⊄のさ⊊さえめ	ワ⌻ノサ⍁サエメ
time	⊅な⊇ふめ	⌼ナ⌾フメ
if	れた⊃すに⊃ろ	レタ⌺スニ⌺ロ
will	ませ▣ち	マセ◈チ
way	⊄ほ⊆のなわおに	⌻ホ⌽ノナワオニ
about	くのほすせゔ⊍へ	クノホスセヴ⍕ヘ
many	⊌にえてく⊌ゆ	⍢ニエテク⍢ユ
then	けさり⊋	ケサリ⍂
them	ゔ⊋⊁⊇た	ヴ⍂⌸⌾タ
write	みもは	ミモハ
would	⊊の▣け⊁にまくす	⍁ノ◈ケ⌸ニマクス
like	に▣っや⊃たりも	ニ◈ッヤ⌺タリモ
so	め⊁⊂は	メ⌸⌹ハ
these	むにすゆめ⊄⊆え	ムニスユメ⌻⌽エ
her	⊋⊃っ	⍂⌺ッ
long	ふくゔおひもま	フクヴオヒモマ
make	えわ⊃	エワ⌺
thing	▣⊂あ	◈⌹ア
see	⊁へっん⊈うあ⊇る	⌸ヘッン⌿ウア⌾ル
him	けお⊅	ケオ⌼
two	っめむておせふ⊂	ッメムテオセフ⌹
has	よ⊇かりうえ	ヨ⌾カリウエ
look	かえ⊁にめ⊄しさ	カエ⌸ニメ⌻シサ
more	⊆すむくま⊂は	⌽スムクマ⌹ハ
day	にてあ	ニテア
could	はにんくうみ⊇りら	ハニンクウミ⌾リラ
go	へよにせ⊅み⊉⊋	ヘヨニセ⌼ミ⍀⍂
come	⊃こそゆおそ	⌺コソユオソ
did	えけえきふ	エケエキフ
number	あせ⊋ら	アセ⍂ラ
sound	すへさけかほ▣	スヘサケカホ◈
no	やむらら⊀⊀⊊⊆	ヤムララ⌶⌶⍁⌽
most	⊁⊈はお	⌸⌿ハオ
people	⊆⊇せ⊌ち⊅	⌽⌾セ⍢チ⌼
my	ゔめ⊄こむものに	ヴメ⌻コムモノニ
over	⊍ちるりひ	⍕チルリヒ
know	とやし⊀⊇う	トヤシ⌶⌾ウ
water	⊊⊂⊈	⍁⌹⌿
than	⊍のえ	⍕ノエ
call	こけし⊂すちにてに	コケシ⌹スチニテニ
first	すゆ⊄はし	スユ⌻ハシ
who	ひおその⊍ゔ	ヒオソノ⍕ヴ
may	わこすきかわ	ワコスキカワ
down	まとは⊆⊃おととか	マトハ⌽⌺オトトカ
side	⊄⊉のうて	⌻⍀ノウテ
been	ふほ⊋	フホ⍂
now	して⊌ゔ	シテ⍢ヴ
find	⊃と⊉く⊍も	⌺ト⍀ク⍕モ
any	⊁ちろ	⌸チロ
new	⊋⊉⊆う⊊⊀	⍂⍀⌽ウ⍁⌶
work	ゆけ⊍わのにろよ⊋	ユケ⍕ワノニロヨ⍂
part	と⊂⊃も⊄らさ	ト⌹⌺モ⌻ラサ
take	⊌⊃の⊃ななみ	⍢⌺ノ⌺ナナミ
get	ゆけるれち	ユケルレチ
place	ま⊃なめせな	マ⌺ナメセナ
made	ちや⊆そす	チヤ⌽ソス
live	▣よかっうれ⊍	◈ヨカッウレ⍕
where	ろ⊋っすもえと	ロ⍂ッスモエト
after	せ⊈⊃りせせて	セ⌿⌺リセセテ
back	うなやまあり	ウナヤマアリ
little	⊉れお⊂のむし	⍀レオ⌹ノムシ
only	⊈かに⊋	⌿カニ⍂
round	しな⊆⊋⊋せ⊌	シナ⌽⍂⍂セ⍢
man	むくりめそのには⊆	ムクリメソノニハ⌽
year	れ⊆こ⊁なた⊁れむ	レ⌽コ⌸ナタ⌸レム
came	⊃せゆめお⊅	⌺セユメオ⌼
show	へひそ⊍ひんむ	ヘヒソ⍕ヒンム
every	⊉なとゆい⊉くく	⍀ナトユイ⍀クク
good	てにりこに⊌り	テニリコニ⍢リ
me	⊉きほ⊋⊆り⊇れ	⍀キホ⍂⌽リ⌾レ
give	そ⊌ろけそほ	ソ⍢ロケソホ
our	れはのえすへ⊋う	レハノエスヘ⍂ウ
under	⊂⊀にのにゆえま	⌹⌶ニノニユエマ
name	よいん⊇⊀まふも	ヨイン⌾⌶マフモ
very	る⊋せめ⊇ら	ル⍂セメ⌾ラ
through	⊀う⊀あ⊇ひはこお	⌶ウ⌶ア⌾ヒハコオ
just	てこゔ⊀うよろ	テコヴ⌶ウヨロ
form	のさくほち	ノサクホチ
sentence	む⊁ちせ⊁	ム⌸チセ⌸
great	むるやうえか	ムルヤウエカ
think	さひる	サヒル
say	⊉⊇わてへす	⍀⌾ワテヘス
help	⊁⊅にひ	⌸⌼ニヒ
low	るろみのゔ	ルロミノヴ
line	まわ⊌やや⊈れ⊋や	マワ⍢ヤヤ⌿レ⍂ヤ
differ	されほに⊄ゆて▣⊀	サレホニ⌻ユテ◈⌶
turn	や⊆か▣っ⊂	ヤ⌽カ◈ッ⌹
cause	せもゆきこ	セモユキコ
much	にひは	ニヒハ
mean	⊁あ⊌ううう⊀⊁	⌸ア⍢ウウウ⌶⌸
before	⊊ひはう⊄れあ⊅ひ	⍁ヒハウ⌻レア⌼ヒ
move	ならあ	ナラア
right	なかかもらの⊊す⊁	ナカカモラノ⍁ス⌸
boy	たきむ⊅にわ	タキム⌼ニワ
old	は⊉さもう	ハ⍀サモウ
too	やへひまれけ⊌	ヤヘヒマレケ⍢
same	⊈ううるえふ	⌿ウウルエフ
tell	きくるよっ⊆ゆ	キクルヨッ⌽ユ
does	すふ⊌らか	スフ⍢ラカ
set	⊂めま⊃ふたま	⌹メマ⌺フタマ
three	ひんほ	ヒンホ
want	しせ⊁そあ▣てっち	シセ⌸ソア◈テッチ
air	⊉ほ⊌⊂⊅⊇よ⊅⊋	⍀ホ⍢⌹⌼⌾ヨ⌼⍂
well	かしく	カシク
also	わちゆわの	ワチユワノ
play	そひ⊂おへ⊉	ソヒ⌹オヘ⍀
small	そ▣そひお	ソ◈ソヒオ
end	め⊊⊊らす⊀はっら	メ⍁⍁ラス⌶ハッラ
put	した⊉おれよ⊈の	シタ⍀オレヨ⌿ノ
home	もそすえ⊄⊊⊊こ	モソスエ⌻⍁⍁コ
read	⊌こ⊊いわさ⊃は	⍢コ⍁イワサ⌺ハ
hand	っ⊈すに	ッ⌿スニ
port	ほはえあにる	ホハエアニル
large	こしはのおろ	コシハノオロ
spell	わと⊁ま▣きるた	ワト⌸マ◈キルタ
add	⊍ろ⊁かええも⊈	⍕ロ⌸カエエモ⌿
even	えふのろ	エフノロ
land	は▣のい⊈こか	ハ◈ノイ⌿コカ
here	⊆そは⊄や▣ふの	⌽ソハ⌻ヤ◈フノ
must	やく⊂ひへしひ	ヤク⌹ヒヘシヒ
big	⊃お⊈⊆	⌺オ⌿⌽
high	にはたうけにの	ニハタウケニノ
such	えに⊄た⊊	エニ⌻タ⍁
follow	ひ⊄にらゆむむ⊊わ	ヒ⌻ニラユムム⍁ワ
act	ろちかちも⊆⊄に	ロチカチモ⌽⌻ニ
why	っ⊃こほりのお	ッ⌺コホリノオ
ask	⊆りら⊆て	⌽リラ⌽テ
men	らちも⊈な⊀けろあ	ラチモ⌿ナ⌶ケロア
change	わ▣よえそめの⊋へ	ワ◈ヨエソメノ⍂ヘ
went	ふ⊀にきいの⊌ほ	フ⌶ニキイノ⍢ホ
light	う⊇⊅あえ	ウ⌾⌼アエ
kind	かほきも⊃あち	カホキモ⌺アチ
off	▣りのすっ	◈リノスッ
need	⊇おらのち	⌾オラノチ
house	ほち⊌た⊄ろ⊄よひ	ホチ⍢タ⌻ロ⌻ヨヒ
picture	⊋ほっ⊃	⍂ホッ⌺
try	むくり	ムクリ
us	よへろく	ヨヘロク
again	さゔ⊄⊁ひけむ⊆	サヴ⌻⌸ヒケム⌽
